UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
SheepWolf,@realsheepwolf,2020-01-12T23:09:04.000Z,"SheepWolf
@realsheepwolf
·
Jan 12, 2020","$VERB ZACK'S STRONG BUY-RISING OFF 5 YEAR LOWS
NOW OVER 937K MEMBERS
SERIES OF NEW FEATURES COMING
LOOK FOR EXECUTION ON PARTNERSHIPS WITH #MICROSOFT,#SALESFORCE AND OTHERS
INTERACTIVE ZOOM $ZM KILLER COMING
NEW REVENUE STREAMS

$CPAH $SRNE $ACRS $HSDT $AQST $SAVA $CYCN",💫 ⭐ ⭐ ⭐ ⭐ ⭐,,3,7,['https://pbs.twimg.com/media/EJrVpDfX0AATwJ7.jpg'],https://twitter.com/realsheepwolf/status/1216497352384700416
Blazing Saddles,@frankblaze,2020-01-12T18:53:35.000Z,"Blazing Saddles
@frankblaze
·
Jan 12, 2020","Replying to 
@BlackfishFinanc
 and 
@JMVala_Trades",,,,2,[],https://twitter.com/frankblaze/status/1216433056652771328
Scott,@livetradepro,2020-01-13T22:47:23.000Z,"Scott
@livetradepro
·
Jan 13, 2020","View stocks that we're trading now, with higher expectations. Entry/exit signals based on technical analysis. Charts plus highlights today on these positions. $CGC $INMD $LK $SQ $OKTA $NTNX $PAGS $CRWD $ZM 
Discover more. https://livetradepro.com",,,,4,[],https://twitter.com/livetradepro/status/1216854282407944192
SwingTradeBot,@SwingTradeBot,2020-01-13T22:36:42.000Z,"SwingTradeBot
@SwingTradeBot
·
Jan 13, 2020",Scan results - Shooting Star Candlestick today: $TSLA $DDOG $CREE $ALEX $LVGO $ZM $CBRL $HIIQ $TREX $MXL $R $PSTG $EXC $QCOM $NUS $MMM $QIWI $DESP $PAGS ...,,,,,[],https://twitter.com/SwingTradeBot/status/1216851595109027847
Candlestick_stats,@dailycandlestix,2020-01-13T22:10:41.000Z,"Candlestick_stats
@dailycandlestix
·
Jan 13, 2020","$ZM Inverted Hammer
Daily appearances since 2020-01-02: 5
Next Day Close:
Avg: -3.95
Worst: -14.62
Best: 0.98 

3 days later:
Avg: -4.33
Worst: -15.31
Best: 2.92 

5 days later:
Avg: -5.08
Worst: -14.32
Best: 1.90",,,,,[],https://twitter.com/dailycandlestix/status/1216845046403649537
Jeff Richards,@jrichlive,2020-01-13T21:52:55.000Z,"Jeff Richards
@jrichlive
·
Jan 13, 2020","Fall dip in enterprise / SaaS followed by major bounce:

$SHOP $295 (11/6) -> $440 (current) / +49%

$TWLO $91 (11/7) -> $120 / +31%

$SPLK $110 (10/22) -> $156 / +41%

$ZM $62 (10/22) -> $74 / +19%

$OKTA $98 (10/18) -> $131 / +33%

$DDOG $28 (10/22) -> $41 / +46%

  ",🚀 🚀 🚀,4,15,104,[],https://twitter.com/jrichlive/status/1216840573711028225
SheepWolf,@realsheepwolf,2020-01-13T20:26:00.000Z,"SheepWolf
@realsheepwolf
·
Jan 13, 2020","$VERB THIS IS WHERE ""REAL"" MONEY IS MADE-BUYING BOTTOMS 
BUYING 5 YEAR LOWS 
PATENT PENDING-DISRUPTIVE TECH THAT RIVALS $ZM AND HUGE BIG TECH INTEGRATIONS 
OVER 800K MEMBERS 

$INPX $ACAD $PTI $DFFN $DLTH $CRM $SAVA $AAPL $GENE $EYEG $DPW $GE $BABA $SFET $VERU $ECA $ACB $JD",💫 💫 💫 💫,1,4,4,['https://pbs.twimg.com/media/ELr-FVNXsAAXbbq.jpg'],https://twitter.com/realsheepwolf/status/1216818700428378112
Scott,@livetradepro,2020-01-14T22:56:29.000Z,"Scott
@livetradepro
·
Jan 14, 2020","View stocks that we're trading now, with higher expectations. Entry/exit signals based on technical analysis. Charts plus highlights today on these positions. $SHAK $LABU $CGC $INMD $LK $OKTA $NTNX $PAGS $CHNG $CRWD $ZM 
Discover more. https://livetradepro.com",,,,1,[],https://twitter.com/livetradepro/status/1217218959197470721
SwingTradeBot,@SwingTradeBot,2020-01-14T22:34:58.000Z,"SwingTradeBot
@SwingTradeBot
·
Jan 14, 2020",Scan results - Bearish Engulfing today: $CRTO $DT $MA $IVR $CG $PAYC $ICE $INMD $HTA $SAFM $PGRE $GWRE $TREX $MDLZ $EQIX $DDOG $GPN $ZM $EC $OKTA ...,,,,,[],https://twitter.com/SwingTradeBot/status/1217213545219346433
SheepWolf,@realsheepwolf,2020-01-14T19:45:00.000Z,"SheepWolf
@realsheepwolf
·
Jan 14, 2020","$VERB WEALTH BUILDER--ULTIMATE BUY LOW OPPORTUNITY-OVERSOLD 5 YEAR LOWS
O/S=25m
PATENT PENDING TECH THAT RIVALS $ZM AND HUGE BIG TECH INTEGRATIONS 
OVER 900,000 MEMBERS WITH RECURRING REVENUE AND BACKLOG

$FCEL $GE $ORCL $CRM $QCOM $AAPL $CVSI $SAVA  $PLUG $ARAV $PIXY $BOLD",💫 💫 💫 💫,,2,2,['https://pbs.twimg.com/amplify_video_thumb/1205091609643274240/img/1p-AIw5ZQwtduZgb.jpg'],https://twitter.com/realsheepwolf/status/1217170770419314688
